"Found","Response Code","Content Length"
"/misc/","403","1393"
"/themes/","403","1393"
"/modules/","403","1393"
"/","200","8164"
"/search/","403","1628"
"/scripts/","403","1393"
"/0/","200","8166"
"/user/","200","7999"
"/admin/","403","1628"
"/sites/","403","1393"
"/node/","200","8166"
"/includes/","403","1393"
"/profiles/","403","1393"
"/user/register","200","8676"
"/user","200","7996"
"/user/password","200","7665"
"/themes/bartik/","403","1393"
"/node","200","8166"
"/misc/jquery.js","200","79034"
"/misc/jquery.once.js","200","3315"
"/misc/drupal.js","200","18377"
"/misc/jquery.cookie.js","200","1234"
"/entries/","403","1393"
"/rest/","200","356"
"/batch/","403","1628"
